user_id,edition_id,chapter_id,percent,event_class,event_obj_id,event_type,event_info,device,version,timezone,country,edition_language,offline,created_at,updated_at
2142422,2895397,,,Edition,2895397,download,,Dart/2.5 (dart:io),web,0,,en,0,2019-12-10T13:28:45.980Z,2019-12-10T13:28:46.543Z
2142502,2895400,,,Edition,2895400,read,,"Mozilla/5.0 (Linux; Android 9; SM-A600FN) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36",web,0,,en,0,2019-12-10T13:28:50.676Z,2019-12-10T13:28:51.683Z
2142509,2895397,,,Edition,2895397,view,"{""position"":""1"",""screen_width"":""360"",""list_type"":""grid""}","Mozilla/5.0 (Linux; Android 9; EML-L09) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36",web,0,,en,0,2019-12-10T13:29:00.718Z,2019-12-10T13:29:01.715Z
2142509,2895397,,,Edition,2895397,read,,"Mozilla/5.0 (Linux; Android 9; EML-L09) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36",web,0,,en,0,2019-12-10T13:29:09.663Z,2019-12-10T13:29:11.828Z
2142509,2895397,,,Edition,2895397,read,,"Mozilla/5.0 (Linux; Android 9; EML-L09) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36",web,0,,en,0,2019-12-10T13:29:08.457Z,2019-12-10T13:29:11.943Z
2142509,2895397,,,Edition,2895397,read,,"Mozilla/5.0 (Linux; Android 9; EML-L09) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36",web,0,,en,0,2019-12-10T13:29:10.583Z,2019-12-10T13:29:12.060Z
2142509,2895397,,,Edition,2895397,read,,"Mozilla/5.0 (Linux; Android 9; EML-L09) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36",web,0,,en,0,2019-12-10T13:29:12.019Z,2019-12-10T13:29:12.185Z
2142504,2895400,,,Edition,2895400,view,"{""position"":""0"",""screen_width"":""1112"",""list_type"":""grid""}","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Safari/605.1.15",web,0,,en,0,2019-12-10T13:29:13.293Z,2019-12-10T13:29:17.005Z
2142509,2895397,,,Edition,2895397,read,,"Mozilla/5.0 (Linux; Android 9; EML-L09) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36",web,0,,en,0,2019-12-10T13:29:13.566Z,2019-12-10T13:29:17.099Z
2142503,2895401,,,Edition,2895401,view,"{""position"":""0"",""screen_width"":""1393"",""list_type"":""grid""}","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Safari/605.1.15",web,0,,en,0,2019-12-10T13:29:16.244Z,2019-12-10T13:29:17.111Z
2142422,2895397,,,Edition,2895397,remove_download,,Dart/2.5 (dart:io),web,0,,en,0,2019-12-10T13:29:15.781Z,2019-12-10T13:29:17.115Z
2142505,2895390,,,Edition,2895390,view,"{""position"":null,""screen_width"":null,""list_type"":null}","Mozilla/5.0 (iPhone; CPU iPhone OS 13_1_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1",web,0,,en,0,2019-12-10T13:29:19.136Z,2019-12-10T13:29:22.235Z
2142504,2895400,,,Edition,2895400,more,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Safari/605.1.15",web,0,,en,0,2019-12-10T13:29:20.928Z,2019-12-10T13:29:22.251Z
